ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",793435,-0.0015,0.3961,0.5769,0.027,641250,0.6629,0.3371,0.1236,0.0141,0.0187,0.1803,0.0035,
"2",793405,-0.0015,0.5125,0.4645,0.023,652620,0.6265,0.3735,0.2426,0.0453,0.0423,0.0486,0.0052,
"3",795472,0.0011,0.5344,0.4423,0.0233,606145,0.4248,0.5752,0.4787,0.0362,0.0266,0.0514,0.0033,
"4",794222,-0.0005,0.3761,0.6002,0.0237,589377,0.6462,0.3538,0.226,0.0549,0.0308,0.0479,0.0052,
"5",795715,0.0014,0.4697,0.5089,0.0214,601829,0.536,0.464,0.3266,0.0723,0.0454,0.0297,0.0048,
"6",795916,0.0016,0.436,0.5441,0.0199,631660,0.7362,0.2638,0.138,0.039,0.0611,0.0248,0.0033,
"7",795318,0.0009,0.4789,0.4961,0.0249,638131,0.6195,0.3805,0.2279,0.059,0.0558,0.0452,0.0055,
"8",793427,-0.0015,0.4927,0.4843,0.023,596611,0.6162,0.3838,0.1895,0.0677,0.0965,0.0369,0.0051,
"9",794592,0,0.6737,0.301,0.0253,584353,0.3341,0.6659,0.4901,0.108,0.0421,0.0481,0.0039,
"Summary",794611,0.0032,0.4772,0.4994,0.0234,615775,0.5807,0.4193,0.2688,0.0545,0.0465,0.0576,0.0044,
