ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",760066,0,0.4613,0.5123,0.0264,609262,0.7134,0.2866,0.1543,0.0221,0.0358,0.0734,0.0058,
"2",760070,0,0.4745,0.5008,0.0247,587533,0.6457,0.3543,0.1822,0.0336,0.0959,0.0451,0.0076,
"3",760066,0,0.4788,0.4952,0.0261,591438,0.6661,0.3339,0.14,0.0509,0.1102,0.0328,0.0091,
"4",760067,0,0.7734,0.2045,0.0222,612225,0.6495,0.3505,0.222,0.0271,0.0706,0.036,0.0067,
"5",760078,0,0.8624,0.1177,0.0199,665168,0.4456,0.5544,0.1332,0.0642,0.3432,0.0194,0.0069,
"6",760057,0,0.7721,0.2088,0.0191,613700,0.343,0.657,0.2074,0.0325,0.3995,0.0199,0.0146,
"7",760054,0,0.7081,0.2678,0.0241,582738,0.3443,0.6557,0.2353,0.1402,0.2564,0.035,0.0237,
"8",760052,0,0.7043,0.2723,0.0234,592136,0.3871,0.6129,0.2827,0.1157,0.1945,0.0363,0.0154,
"9",760066,0,0.4696,0.5074,0.0231,599651,0.5434,0.4566,0.243,0.06,0.1238,0.0385,0.0111,
"10",760066,0,0.6165,0.3606,0.0229,549391,0.2567,0.7433,0.4577,0.0899,0.1815,0.0416,0.0142,
"11",760063,0,0.4629,0.5143,0.0229,573523,0.46,0.54,0.4036,0.0363,0.0706,0.0494,0.0084,
"12",760054,0,0.6667,0.3113,0.022,554209,0.2841,0.7159,0.4914,0.0554,0.1578,0.0418,0.006,
"13",760074,0,0.7604,0.2189,0.0206,598223,0.4147,0.5853,0.2628,0.1021,0.2036,0.0295,0.0099,
"14",760066,0,0.6593,0.3192,0.0215,577186,0.435,0.565,0.1849,0.0799,0.2839,0.0255,0.0111,
"15",760080,0,0.8932,0.086,0.0208,621085,0.3527,0.6473,0.2117,0.1801,0.2451,0.0306,0.0093,
"16",760069,0,0.7655,0.2156,0.019,592328,0.2238,0.7762,0.2591,0.0589,0.4395,0.0244,0.022,
"17",760063,0,0.7626,0.2149,0.0224,605537,0.3561,0.6439,0.1366,0.0258,0.4689,0.0162,0.0064,
"18",760063,0,0.7049,0.2764,0.0187,600395,0.1929,0.8071,0.3207,0.0355,0.4458,0.0285,0.0079,
"19",760083,0,0.7369,0.2396,0.0235,588748,0.4392,0.5608,0.4265,0.0278,0.0891,0.0412,0.0077,
"20",760071,0,0.4668,0.5126,0.0206,556234,0.3867,0.6133,0.4322,0.0426,0.1207,0.0414,0.0043,
"21",760056,0,0.6907,0.2864,0.0229,601453,0.4692,0.5308,0.4109,0.0248,0.079,0.0392,0.0049,
"22",760056,0,0.4508,0.5275,0.0216,556682,0.3005,0.6995,0.5987,0.0329,0.0488,0.0432,0.0038,
"23",760062,0,0.4762,0.5018,0.0221,595733,0.5557,0.4443,0.3093,0.0287,0.0834,0.037,0.005,
"24",760066,0,0.4567,0.5165,0.0268,554275,0.3717,0.6283,0.4597,0.0868,0.0565,0.0483,0.0059,
"25",760072,0,0.4713,0.5065,0.0223,586519,0.4798,0.5202,0.3804,0.0429,0.0744,0.0373,0.0076,
"26",760069,0,0.6752,0.3035,0.0213,595667,0.2309,0.7691,0.5227,0.0849,0.1613,0.0312,0.0105,
"27",760059,0,0.5515,0.4308,0.0177,588149,0.437,0.563,0.4391,0.0538,0.0544,0.0366,0.005,
"28",760066,0,0.6944,0.2809,0.0246,623595,0.5163,0.4837,0.2438,0.0777,0.1444,0.0266,0.0092,
"29",760067,0,0.6052,0.3721,0.0227,600170,0.5479,0.4521,0.165,0.0351,0.2351,0.0197,0.0097,
"30",760046,0,0.4874,0.4899,0.0228,574659,0.4661,0.5339,0.3645,0.0512,0.1005,0.0361,0.0093,
"31",760065,0,0.576,0.4032,0.0208,562086,0.2754,0.7246,0.5269,0.1092,0.0792,0.0385,0.0073,
"32",760056,0,0.4629,0.5158,0.0214,568933,0.4227,0.5773,0.3854,0.0892,0.0848,0.0396,0.0062,
"33",760073,0,0.5019,0.4783,0.0197,602680,0.6203,0.3797,0.1669,0.0196,0.1757,0.0196,0.0049,
"34",760016,-0.0001,0.5347,0.4427,0.0226,569815,0.3733,0.6267,0.4033,0.1157,0.0972,0.0364,0.005,
"35",760064,0,0.6662,0.3102,0.0236,549677,0.1446,0.8554,0.6593,0.118,0.0755,0.0402,0.0057,
"36",760066,0,0.4841,0.4965,0.0194,602211,0.4103,0.5897,0.3143,0.0415,0.2226,0.026,0.006,
"37",760081,0,0.5889,0.3894,0.0217,573898,0.2406,0.7594,0.552,0.0682,0.1328,0.0369,0.0059,
"38",760077,0,0.6497,0.3309,0.0194,603801,0.499,0.501,0.2913,0.047,0.1526,0.0246,0.004,
"39",760043,0,0.649,0.3294,0.0216,590944,0.2653,0.7347,0.4401,0.0262,0.2614,0.0337,0.0054,
"40",760071,0,0.4937,0.486,0.0203,619394,0.4898,0.5102,0.1764,0.0226,0.2945,0.0207,0.0077,
"41",760073,0,0.5994,0.3793,0.0213,591382,0.2029,0.7971,0.4871,0.0326,0.2695,0.0333,0.0074,
"42",760069,0,0.8767,0.104,0.0193,574777,0.0437,0.9563,0.4906,0.4234,0.0452,0.0343,0.0054,
"43",760071,0,0.6552,0.3267,0.0181,613357,0.1103,0.8897,0.3411,0.0193,0.5309,0.0225,0.0034,
"44",760064,0,0.663,0.3156,0.0214,602393,0.2212,0.7788,0.5328,0.0471,0.1971,0.036,0.004,
"45",760116,0.0001,0.6817,0.2967,0.0216,592757,0.2894,0.7106,0.5233,0.0491,0.1341,0.0328,0.0033,
"46",760062,0,0.6999,0.2761,0.0239,596487,0.2426,0.7574,0.43,0.1265,0.1918,0.0342,0.0127,
"47",760066,0,0.6811,0.2956,0.0232,599315,0.3042,0.6958,0.3875,0.0792,0.2188,0.0302,0.0116,
"48",760063,0,0.7332,0.2432,0.0236,575639,0.0759,0.9241,0.83,0.0457,0.0485,0.0476,0.0037,
"49",760068,0,0.8199,0.1579,0.0222,585977,0.084,0.916,0.6768,0.1088,0.1308,0.0432,0.0024,
"50",760108,0.0001,0.7906,0.1876,0.0218,613947,0.2399,0.7601,0.532,0.0467,0.1805,0.0385,0.0034,
"51",760061,0,0.8048,0.1769,0.0183,654350,0.5337,0.4663,0.2054,0.07,0.1776,0.0211,0.0042,
"52",760057,0,0.7316,0.2507,0.0177,635673,0.5717,0.4283,0.2509,0.0573,0.1092,0.0219,0.0035,
"Summary",760066,0.0001,0.635,0.3433,0.0217,592829,0.3787,0.6213,0.3595,0.0681,0.1785,0.0339,0.0077,
