ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific,
Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,721714,0,0.7951,0.1822,0.0227,511546,0.6513,0.3487,0.2037,0.0965,0.0334,0.012,0.0013,0
2,721697,0,0.6861,0.2884,0.0255,528883,0.8591,0.1409,0.0877,0.0131,0.0275,0.0094,0.0009,0
3,721730,0,0.4469,0.5294,0.0237,533771,0.7494,0.2506,0.2064,0.011,0.0081,0.0227,0.0009,0
4,721838,0.0002,0.3949,0.5802,0.025,494888,0.8465,0.1535,0.0993,0.0176,0.0251,0.0089,0.001,0
5,722336,0.0009,0.4309,0.5319,0.0373,503202,0.7441,0.2559,0.1335,0.0692,0.0323,0.0132,0.0032,0
6,721717,0,0.6061,0.3676,0.0262,484046,0.7034,0.2966,0.1306,0.1039,0.0471,0.0111,0.0018,0
7,721092,-0.0009,0.5571,0.4151,0.0278,550083,0.8214,0.1786,0.1212,0.0166,0.0271,0.0115,0.0004,1
8,721590,-0.0002,0.5084,0.4623,0.0293,457461,0.6597,0.3403,0.2747,0.0203,0.0301,0.0112,0.0012,0
Summary,721714,0.0017,0.554,0.419,0.027,507985,0.7567,0.2433,0.1557,0.0429,0.0286,0.0126,0.0013,
,,,,,,,,,,,,,,
,,,0.125,,,,,,,,,,,
