ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific,
Un,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,721178,-0.0007,0.7639,0.1988,0.0373,585908,0.5877,0.4123,0.2446,0.0968,0.0524,0.0334,0.0036,0
2,721702,0,0.4826,0.4692,0.0482,535827,0.5649,0.4351,0.3408,0.0255,0.0443,0.0396,0.0029,1
3,721637,-0.0001,0.5612,0.3974,0.0415,549148,0.5795,0.4205,0.2047,0.1193,0.0764,0.031,0.005,0
4,722165,0.0006,0.4823,0.4724,0.0454,572691,0.7966,0.2034,0.1333,0.0138,0.0256,0.0279,0.0027,1
5,721265,-0.0006,0.6426,0.3139,0.0435,582467,0.7621,0.2379,0.1362,0.019,0.0546,0.0272,0.0024,0
6,720462,-0.0017,0.4496,0.5063,0.0441,580942,0.7877,0.2123,0.1302,0.0149,0.0242,0.0408,0.0022,0
7,721963,0.0003,0.3842,0.5639,0.0519,551702,0.6906,0.3094,0.1548,0.0767,0.0492,0.0351,0.0077,0
8,723342,0.0023,0.3909,0.5684,0.0407,550891,0.711,0.289,0.1981,0.0242,0.0395,0.0336,0.0028,0
Summary,721714,0.004,0.5209,0.4352,0.0439,563697,0.6865,0.3135,0.1916,0.0486,0.0456,0.0335,0.0036,
