ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",753683,0,0.7048,0.2813,0.0139,589024,0.3698,0.6302,0.0788,0.5202,0.0262,0.0139,0.0009,
"2",753663,0,0.6929,0.2929,0.0142,580984,0.3627,0.6373,0.1336,0.4836,0.0134,0.0184,0.0011,
"3",753677,0,0.6972,0.2829,0.0198,588880,0.4277,0.5723,0.4379,0.0603,0.073,0.0345,0.0017,
"4",753636,-0.0001,0.7225,0.2589,0.0187,563299,0.2621,0.7379,0.6323,0.0582,0.0468,0.0484,0.0012,
"5",753677,0,0.6895,0.2922,0.0183,618186,0.733,0.267,0.1066,0.0334,0.1176,0.012,0.0012,
"6",753682,0,0.545,0.4365,0.0185,593482,0.7462,0.2538,0.118,0.0587,0.0654,0.0134,0.0009,
"7",753713,0,0.8563,0.1279,0.0158,607695,0.3271,0.6729,0.1385,0.4298,0.1022,0.0147,0.0012,
"8",753663,0,0.5678,0.4137,0.0185,586505,0.5842,0.4158,0.2072,0.0476,0.1515,0.021,0.0013,
"9",753677,0,0.6986,0.2848,0.0167,607511,0.6158,0.3842,0.1166,0.097,0.1603,0.0153,0.0014,
"10",753627,-0.0001,0.6199,0.3611,0.0189,575576,0.6159,0.3841,0.2121,0.0713,0.0872,0.0221,0.0017,
"11",753741,0.0001,0.5658,0.4131,0.0211,574829,0.6657,0.3343,0.1644,0.066,0.0895,0.018,0.0011,
"12",753677,0,0.2769,0.7052,0.0179,589350,0.8805,0.1195,0.0237,0.0556,0.0141,0.0204,0.0012,
"13",753677,0,0.5444,0.4323,0.0233,595719,0.6779,0.3221,0.0429,0.203,0.0538,0.0205,0.0013,
"14",753677,0,0.5474,0.4326,0.0199,564317,0.6267,0.3733,0.2007,0.1018,0.0567,0.0219,0.001,
"15",753705,0,0.2958,0.6836,0.0206,592316,0.9085,0.0915,0.0242,0.0338,0.0103,0.0178,0.001,
"16",753615,-0.0001,0.381,0.5962,0.0227,581977,0.8725,0.1275,0.0528,0.0266,0.0252,0.0179,0.0009,
"17",753718,0.0001,0.5272,0.4492,0.0236,589819,0.7197,0.2803,0.094,0.1417,0.0256,0.0202,0.0013,
"Summary",753677,0.0002,0.5754,0.4056,0.019,588204,0.6124,0.3876,0.162,0.1468,0.0662,0.0205,0.0012,
