ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",753948,0.0004,0.4418,0.5124,0.0458,589820,0.7611,0.2389,0.0358,0.1595,0.0183,0.0214,0.0013,
"2",755073,0.0019,0.2854,0.6621,0.0525,591417,0.9021,0.0979,0.0225,0.0407,0.0093,0.0196,0.0009,
"3",753683,0,0.4129,0.534,0.0531,593095,0.7879,0.2121,0.0434,0.0906,0.0573,0.0179,0.0011,
"4",754816,0.0015,0.3973,0.5483,0.0544,591172,0.825,0.175,0.0328,0.0983,0.0225,0.0181,0.0014,
"5",752240,-0.0019,0.4432,0.5072,0.0496,586103,0.7756,0.2244,0.0952,0.0871,0.0214,0.02,0.0009,
"6",752923,-0.001,0.4637,0.4853,0.051,573395,0.7194,0.2806,0.1805,0.0393,0.0437,0.0226,0.001,
"7",754631,0.0013,0.4602,0.4869,0.0529,571818,0.6966,0.3034,0.1745,0.0895,0.0221,0.0224,0.0009,
"8",753560,-0.0002,0.5176,0.4354,0.047,587303,0.6751,0.3249,0.1466,0.0471,0.1191,0.0157,0.0012,
"9",751944,-0.0023,0.5355,0.4166,0.0479,567344,0.6185,0.3815,0.1581,0.1051,0.1064,0.0163,0.0009,
"10",753685,0,0.7449,0.2057,0.0494,583291,0.3177,0.6823,0.1481,0.5129,0.0182,0.016,0.0011,
"11",754468,0.001,0.8845,0.062,0.0535,598540,0.1468,0.8532,0.0943,0.6972,0.0634,0.0132,0.0013,
"12",752863,-0.0011,0.6377,0.311,0.0513,574628,0.3735,0.6265,0.488,0.0661,0.0694,0.0386,0.0011,
"13",754227,0.0007,0.7949,0.1546,0.0504,588948,0.3298,0.6702,0.477,0.1396,0.0561,0.0378,0.0018,
"14",753343,-0.0004,0.7881,0.1725,0.0394,645379,0.6341,0.3659,0.1203,0.1079,0.1272,0.0149,0.0015,
"15",753521,-0.0002,0.6038,0.3493,0.0469,593738,0.5794,0.4206,0.2026,0.0961,0.1164,0.0178,0.0011,
"16",753434,-0.0003,0.5756,0.3842,0.0402,587878,0.6453,0.3547,0.1442,0.0371,0.1642,0.0151,0.0012,
"17",754149,0.0006,0.5424,0.414,0.0436,575600,0.6232,0.3768,0.2067,0.0714,0.085,0.0219,0.0018,
"Summary",753677,0.0042,0.5533,0.398,0.0487,588204,0.6124,0.3876,0.162,0.1468,0.0662,0.0205,0.0012,
