ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",774523,-0.0008,0.3936,0.5911,0.0154,632445,0.9086,0.0914,0.0162,0.0135,0.0085,0.0447,0.0011,
"2",775432,0.0003,0.5025,0.4823,0.0151,606534,0.7624,0.2376,0.0444,0.1515,0.0148,0.0231,0.0008,
"3",774091,-0.0014,0.3503,0.6324,0.0173,606096,0.892,0.108,0.0381,0.0273,0.0085,0.0262,0.0008,
"4",773701,-0.0019,0.5334,0.4471,0.0195,596096,0.7394,0.2606,0.0882,0.1176,0.0351,0.0212,0.0011,
"5",776553,0.0018,0.4706,0.511,0.0184,595519,0.7845,0.2155,0.0705,0.0896,0.0294,0.0233,0.0011,
"6",777486,0.003,0.371,0.6116,0.0174,608584,0.8661,0.1339,0.0412,0.0488,0.0122,0.0248,0.0008,
"7",774659,-0.0007,0.4959,0.4868,0.0173,610659,0.8202,0.1798,0.0477,0.068,0.0377,0.0218,0.0012,
"8",774420,-0.001,0.6271,0.3598,0.0131,618622,0.714,0.286,0.0434,0.1084,0.1122,0.018,0.0012,
"9",774856,-0.0004,0.3458,0.6398,0.0143,606792,0.896,0.104,0.0314,0.0272,0.0166,0.0203,0.0006,
"10",775218,0.0001,0.4886,0.4982,0.0132,620272,0.7573,0.2427,0.0256,0.1309,0.0646,0.0166,0.0009,
"11",775468,0.0004,0.5922,0.3945,0.0133,624129,0.7096,0.2904,0.0447,0.1361,0.0904,0.0153,0.0008,
"12",774310,-0.0011,0.7263,0.262,0.0117,595667,0.4941,0.5059,0.0301,0.4344,0.0266,0.0164,0.0009,
"13",776603,0.0018,0.7539,0.2346,0.0115,593178,0.3759,0.6241,0.086,0.4912,0.0342,0.0205,0.0012,
"Summary",775178,0.0049,0.5063,0.4785,0.0152,608815,0.7491,0.2509,0.0465,0.1404,0.038,0.0225,0.0009,
