ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",775170,0,0.7933,0.1815,0.0252,580037,0.3685,0.6315,0.0778,0.5072,0.0374,0.0167,0.0011,
"2",777183,0.0026,0.5414,0.43,0.0286,615273,0.7414,0.2586,0.0474,0.1278,0.0573,0.0224,0.0009,
"3",773785,-0.0018,0.6693,0.3087,0.0221,605533,0.4923,0.5077,0.0256,0.3975,0.0712,0.0134,0.0008,
"4",775412,0.0003,0.5093,0.463,0.0277,615613,0.7605,0.2395,0.0479,0.0946,0.0745,0.0177,0.0007,
"5",776419,0.0016,0.4841,0.4884,0.0275,620008,0.7678,0.2322,0.0241,0.1336,0.0523,0.0172,0.0008,
"6",775730,0.0007,0.3618,0.6067,0.0315,617796,0.9128,0.0872,0.0284,0.0189,0.0095,0.0218,0.0007,
"7",775386,0.0003,0.4944,0.4753,0.0303,604124,0.7642,0.2358,0.0435,0.1522,0.0131,0.023,0.0009,
"8",772813,-0.0031,0.5427,0.4289,0.0284,620714,0.7992,0.2008,0.0435,0.073,0.0577,0.021,0.0011,
"9",771408,-0.0049,0.5019,0.4642,0.0339,607393,0.7842,0.2158,0.052,0.1019,0.0365,0.0234,0.0011,
"10",774555,-0.0008,0.4465,0.5177,0.0358,600081,0.813,0.187,0.0538,0.0817,0.0208,0.0249,0.001,
"11",775744,0.0007,0.4788,0.4874,0.0337,594646,0.764,0.236,0.0862,0.0947,0.036,0.02,0.0011,
"12",777170,0.0026,0.3866,0.5787,0.0347,602713,0.8413,0.1587,0.059,0.0509,0.0184,0.0252,0.001,
"13",776545,0.0018,0.3993,0.5685,0.0322,630662,0.9027,0.0973,0.0189,0.0159,0.0086,0.0456,0.001,
"Summary",775178,0.0074,0.5032,0.4667,0.0301,608815,0.7491,0.2509,0.0465,0.1404,0.038,0.0225,0.0009,
