ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",745670,0,0.4173,0.5676,0.0151,592117,0.6557,0.3443,0.069,0.2331,0.0229,0.0213,0.0031,
"2",745670,0,0.5069,0.4835,0.0097,587675,0.5061,0.4939,0.0672,0.3999,0.0105,0.0225,0.0013,
"3",745671,0,0.4089,0.5775,0.0136,594152,0.6731,0.3269,0.069,0.1644,0.0145,0.0816,0.0018,
"4",745671,0,0.4582,0.5255,0.0164,559343,0.5399,0.4601,0.1195,0.2919,0.0261,0.0335,0.0042,
"5",745671,0,0.6367,0.344,0.0193,580425,0.5831,0.4169,0.1089,0.2447,0.0512,0.019,0.0014,
"6",745671,0,0.7316,0.252,0.0164,579554,0.545,0.455,0.1001,0.2142,0.1275,0.018,0.0013,
"7",745671,0,0.4135,0.572,0.0145,573620,0.6934,0.3066,0.1037,0.1602,0.0224,0.0245,0.0011,
"8",745670,0,0.4136,0.5727,0.0138,564238,0.6672,0.3328,0.0829,0.1722,0.0461,0.0333,0.0016,
"9",745670,0,0.7373,0.2451,0.0176,579370,0.4009,0.5991,0.1487,0.3795,0.0639,0.0195,0.0014,
"10",745671,0,0.388,0.5972,0.0148,573267,0.6888,0.3112,0.0802,0.1697,0.0415,0.0222,0.0012,
"11",745671,0,0.4204,0.5672,0.0124,592406,0.6911,0.3089,0.0667,0.1997,0.0262,0.0206,0.001,
"12",745670,0,0.4275,0.5582,0.0143,582969,0.6788,0.3212,0.098,0.1786,0.027,0.0225,0.0013,
"13",745671,0,0.3914,0.5954,0.0132,583127,0.7262,0.2738,0.0708,0.1543,0.0281,0.0229,0.0011,
"14",745670,0,0.4549,0.529,0.0161,612836,0.8449,0.1551,0.0629,0.0396,0.014,0.0346,0.0023,
"Summary",745671,0,0.4858,0.4994,0.0148,582507,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
