ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",746376,0.0009,0.4397,0.5364,0.0238,609666,0.8433,0.1567,0.0613,0.0441,0.0127,0.0352,0.0022,
"2",747764,0.0028,0.5238,0.4593,0.017,590435,0.5296,0.4704,0.0537,0.3865,0.0134,0.0219,0.0015,
"3",743474,-0.0029,0.3147,0.6626,0.0227,585956,0.7678,0.2322,0.0656,0.1206,0.0227,0.0244,0.001,
"4",745495,-0.0002,0.3795,0.5983,0.0223,584854,0.6525,0.3475,0.0906,0.2149,0.022,0.0234,0.0034,
"5",747580,0.0026,0.4666,0.509,0.0244,561041,0.5454,0.4546,0.12,0.2861,0.0268,0.0327,0.0043,
"6",747392,0.0023,0.4435,0.5341,0.0223,595407,0.6248,0.3752,0.0701,0.2017,0.014,0.0935,0.0017,
"7",746912,0.0017,0.3201,0.6567,0.0232,570908,0.7486,0.2514,0.0779,0.1254,0.0268,0.0213,0.001,
"8",747588,0.0026,0.6166,0.36,0.0234,578673,0.5414,0.4586,0.1109,0.2889,0.0463,0.0209,0.0013,
"9",743475,-0.0029,0.6022,0.3713,0.0265,574210,0.5587,0.4413,0.1141,0.2474,0.0681,0.0176,0.0013,
"10",744568,-0.0015,0.6226,0.3507,0.0267,568621,0.5981,0.4019,0.0958,0.1811,0.1112,0.0171,0.0014,
"11",744686,-0.0013,0.5533,0.4207,0.026,568322,0.492,0.508,0.1323,0.3083,0.0549,0.0223,0.0014,
"12",743597,-0.0028,0.5338,0.4461,0.0201,588326,0.6769,0.3231,0.0956,0.1665,0.0421,0.0222,0.0012,
"13",745067,-0.0008,0.4087,0.5677,0.0236,592677,0.7336,0.2664,0.0861,0.1444,0.0182,0.0213,0.0013,
"14",745414,-0.0003,0.5204,0.4574,0.0222,586003,0.5785,0.4215,0.0746,0.2875,0.0444,0.0215,0.0011,
"Summary",745671,0.0058,0.4828,0.4941,0.0231,582507,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
