ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific,
Un,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,786375,-0.0003,0.5518,0.4258,0.0224,612103,0.6449,0.3551,0.0367,0.2629,0.0387,0.0163,0.0015,0
2,785612,-0.0013,0.311,0.6662,0.0228,598891,0.8306,0.1694,0.0363,0.0625,0.0468,0.0202,0.0014,0
3,786159,-0.0006,0.4554,0.5197,0.0248,616151,0.7357,0.2643,0.0321,0.1783,0.0308,0.0217,0.0016,1
4,786361,-0.0003,0.3141,0.6622,0.0237,613473,0.9199,0.0801,0.0133,0.0293,0.0099,0.0226,0.0008,0
5,786705,0.0001,0.326,0.6495,0.0245,611204,0.9086,0.0914,0.0144,0.0422,0.0093,0.0207,0.0007,0
6,786387,-0.0003,0.6132,0.3637,0.0231,592442,0.5882,0.4118,0.0644,0.2868,0.0441,0.0216,0.0014,0
7,786494,-0.0002,0.5448,0.4332,0.0221,613785,0.7459,0.2541,0.042,0.1077,0.0866,0.0152,0.0012,0
8,785450,-0.0015,0.2537,0.7192,0.0272,601942,0.8991,0.1009,0.0324,0.0364,0.0103,0.0172,0.0015,0
9,785923,-0.0009,0.3034,0.6682,0.0284,605705,0.8958,0.1042,0.0203,0.0415,0.0172,0.0196,0.001,0
10,785002,-0.0021,0.504,0.4672,0.0288,615612,0.7751,0.2249,0.0563,0.1295,0.0186,0.0195,0.0008,1
11,788412,0.0023,0.5183,0.4569,0.0248,631842,0.8217,0.1783,0.0634,0.0671,0.0306,0.0164,0.001,1
12,789369,0.0035,0.744,0.2374,0.0187,622292,0.4525,0.5475,0.062,0.4392,0.0402,0.0139,0.0012,0
13,788501,0.0024,0.518,0.4569,0.0252,629481,0.7925,0.2075,0.0193,0.1282,0.0356,0.0191,0.0009,1
14,786497,-0.0002,0.373,0.6008,0.0261,615392,0.8921,0.1079,0.0197,0.0505,0.0114,0.0193,0.0008,0
15,786189,-0.0006,0.4452,0.5308,0.024,627236,0.8574,0.1426,0.0348,0.0745,0.0121,0.0165,0.0008,1
Summary,786629,0.0056,0.4525,0.5231,0.0244,613837,0.784,0.216,0.0365,0.1291,0.0294,0.0186,0.0011,5
