ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",766987,0,0.2649,0.7235,0.0117,585265,0.6355,0.3645,0.1413,0.183,0.0146,0.0283,0.0013,
"2",766987,0,0.3788,0.6071,0.0141,557917,0.5313,0.4687,0.2712,0.1227,0.0547,0.0285,0.0029,
"3",766987,0,0.4191,0.5626,0.0182,559329,0.5936,0.4064,0.1431,0.1019,0.1367,0.0273,0.0021,
"4",766987,0,0.3626,0.6227,0.0147,577526,0.6296,0.3704,0.1243,0.097,0.1183,0.0319,0.0018,
"5",766987,0,0.3816,0.6059,0.0124,573597,0.5237,0.4763,0.2585,0.1419,0.0532,0.0325,0.0015,
"6",766987,0,0.3737,0.6126,0.0137,572594,0.4879,0.5121,0.3022,0.146,0.0427,0.0316,0.0026,
"7",766987,0,0.642,0.3441,0.0139,594919,0.302,0.698,0.2833,0.1963,0.2139,0.0198,0.0018,
"8",766987,0,0.3579,0.6292,0.0129,565897,0.4878,0.5122,0.2968,0.1315,0.066,0.0306,0.0018,
"9",766987,0,0.7615,0.2273,0.0112,565956,0.139,0.861,0.3642,0.3861,0.1124,0.0222,0.0016,
"10",766987,0,0.3944,0.5869,0.0187,591924,0.6019,0.3981,0.2135,0.1031,0.0618,0.0246,0.0017,
"11",766987,0,0.2909,0.694,0.0151,567819,0.4772,0.5228,0.3524,0.1235,0.029,0.0287,0.0066,
"12",766987,0,0.4012,0.5821,0.0168,580455,0.5886,0.4114,0.2167,0.1197,0.0512,0.0301,0.0026,
"13",766987,0,0.2643,0.7193,0.0165,585231,0.6204,0.3796,0.2463,0.0752,0.0301,0.0348,0.0018,
"14",766987,0,0.3501,0.635,0.0149,585292,0.5601,0.4399,0.2238,0.1617,0.0349,0.0251,0.0013,
"15",766987,0,0.472,0.5177,0.0103,551849,0.1844,0.8156,0.7793,0.0158,0.0147,0.0179,0.0007,
"16",766987,0,0.6693,0.3153,0.0153,574250,0.1305,0.8695,0.8069,0.0411,0.0214,0.0243,0.0031,
"17",766987,0,0.3787,0.6052,0.0161,589524,0.5665,0.4335,0.2228,0.16,0.0315,0.0262,0.0019,
"18",766987,0,0.7354,0.2511,0.0135,576291,0.1942,0.8058,0.3981,0.3437,0.0618,0.0262,0.0026,
"19",766987,0,0.2615,0.7235,0.015,578679,0.5369,0.4631,0.3474,0.0737,0.0241,0.0268,0.0017,
"20",766987,0,0.6571,0.3262,0.0166,574556,0.1975,0.8025,0.6824,0.0719,0.047,0.03,0.0033,
"21",766987,0,0.3939,0.5907,0.0153,604056,0.6215,0.3785,0.2787,0.0442,0.0355,0.0277,0.003,
"22",766987,0,0.4149,0.5701,0.015,557229,0.4525,0.5475,0.263,0.1224,0.1487,0.0203,0.0015,
"23",766986,0,0.4574,0.5294,0.0131,567704,0.312,0.688,0.6012,0.046,0.0329,0.0239,0.0027,
"24",766987,0,0.4305,0.5533,0.0162,581738,0.6492,0.3508,0.1553,0.077,0.0932,0.0262,0.0044,
"25",766987,0,0.3369,0.6491,0.014,586313,0.6214,0.3786,0.1878,0.1234,0.0419,0.0306,0.0029,
"26",766987,0,0.4002,0.5848,0.015,569880,0.5999,0.4001,0.1702,0.0984,0.1057,0.0305,0.0021,
"27",766987,0,0.3903,0.5952,0.0145,584246,0.3984,0.6016,0.5147,0.052,0.0216,0.0237,0.0017,
"28",766987,0,0.5243,0.4617,0.014,550665,0.202,0.798,0.7058,0.0689,0.0177,0.0216,0.0024,
"29",766987,0,0.6784,0.3098,0.0118,547845,0.0995,0.9005,0.7243,0.1462,0.0305,0.0304,0.0015,
"30",766987,0,0.7775,0.2102,0.0123,577974,0.2138,0.7862,0.3201,0.4191,0.0415,0.0258,0.0015,
"31",766987,0,0.3884,0.5906,0.021,574120,0.6295,0.3705,0.203,0.0895,0.054,0.0301,0.0048,
"32",766987,0,0.6565,0.3264,0.0171,593970,0.3617,0.6383,0.3265,0.2026,0.0975,0.0274,0.0018,
"33",766987,0,0.7423,0.2435,0.0142,555227,0.1585,0.8415,0.5446,0.2042,0.0875,0.0274,0.0017,
"34",766987,0,0.5723,0.4171,0.0106,542730,0.0954,0.9046,0.885,0.0083,0.0094,0.0148,0.0007,
"35",766987,0,0.7224,0.2576,0.02,585772,0.289,0.711,0.5349,0.127,0.0439,0.0315,0.0069,
"36",766987,0,0.3357,0.6517,0.0127,578116,0.5296,0.4704,0.275,0.1286,0.0473,0.0263,0.0015,
"37",766987,0,0.7521,0.2258,0.0221,622654,0.553,0.447,0.2513,0.0683,0.1121,0.0256,0.0023,
"38",766987,0,0.4025,0.5837,0.0139,577591,0.5313,0.4687,0.2355,0.1054,0.1128,0.0243,0.0018,
"Summary",766987,0,0.4646,0.5203,0.0151,575439,0.4316,0.5684,0.3616,0.1298,0.0621,0.0267,0.0024,
