ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",767513,0.0007,0.6763,0.2909,0.0328,576009,0.1369,0.8631,0.7961,0.044,0.0228,0.0247,0.0034,
"2",768363,0.0018,0.3053,0.6691,0.0256,567789,0.3835,0.6165,0.5448,0.0414,0.0164,0.0252,0.002,
"3",767385,0.0005,0.2477,0.7264,0.0259,580311,0.5511,0.4489,0.333,0.0731,0.0242,0.0271,0.0017,
"4",769027,0.0027,0.1825,0.7944,0.0231,582470,0.6444,0.3556,0.2467,0.0577,0.0221,0.0346,0.0016,
"5",765986,-0.0013,0.3268,0.6456,0.0276,566291,0.6534,0.3466,0.1737,0.0944,0.0459,0.0369,0.002,
"6",765937,-0.0014,0.471,0.503,0.026,576480,0.5141,0.4859,0.1278,0.1119,0.2274,0.0211,0.002,
"7",767043,0.0001,0.4183,0.5563,0.0254,574891,0.5525,0.4475,0.1717,0.1195,0.1344,0.027,0.0027,
"8",766376,-0.0008,0.3676,0.606,0.0264,570940,0.6008,0.3992,0.1987,0.0985,0.0755,0.0301,0.0048,
"9",765590,-0.0018,0.5503,0.4247,0.0251,569500,0.3874,0.6126,0.3434,0.2167,0.0393,0.0262,0.0018,
"10",764303,-0.0035,0.5823,0.3938,0.0239,563371,0.2867,0.7133,0.4098,0.214,0.0791,0.0313,0.0022,
"11",767156,0.0002,0.5645,0.4117,0.0238,614607,0.4523,0.5477,0.2806,0.1236,0.1302,0.0243,0.0017,
"12",766103,-0.0012,0.5511,0.4241,0.0248,578250,0.3935,0.6065,0.3171,0.1791,0.0961,0.0288,0.0017,
"13",764993,-0.0026,0.8008,0.18,0.0192,549927,0.1297,0.8703,0.411,0.442,0.014,0.0288,0.0013,
"14",766243,-0.001,0.2372,0.7429,0.0199,577293,0.6853,0.3147,0.1403,0.1248,0.0164,0.0352,0.0017,
"15",765936,-0.0014,0.2511,0.7294,0.0195,586296,0.6562,0.3438,0.1492,0.1551,0.0141,0.0277,0.0012,
"16",765626,-0.0018,0.2829,0.701,0.0161,585563,0.6113,0.3887,0.1608,0.1849,0.0212,0.0246,0.001,
"17",769284,0.003,0.3632,0.6121,0.0247,576746,0.5319,0.4681,0.2507,0.1406,0.0572,0.0263,0.0016,
"18",769617,0.0034,0.4502,0.5271,0.0227,565854,0.3362,0.6638,0.4897,0.1115,0.052,0.0284,0.0015,
"19",766017,-0.0013,0.7173,0.2632,0.0195,541704,0.1293,0.8707,0.5206,0.3117,0.0377,0.0289,0.0026,
"20",767843,0.0011,0.7199,0.2556,0.0245,614249,0.3038,0.6962,0.3546,0.2499,0.0872,0.0205,0.0018,
"21",767072,0.0001,0.5998,0.3806,0.0195,576223,0.2362,0.7638,0.3934,0.2326,0.1365,0.0242,0.0016,
"22",765445,-0.002,0.5448,0.4354,0.0198,556541,0.2985,0.7015,0.2227,0.2259,0.2467,0.0165,0.0015,
"23",768998,0.0026,0.5151,0.4614,0.0235,571376,0.3053,0.6947,0.4189,0.1624,0.1071,0.0298,0.0017,
"24",767086,0.0001,0.3846,0.5934,0.0221,558400,0.4734,0.5266,0.255,0.1575,0.0992,0.0262,0.0024,
"25",765865,-0.0015,0.2679,0.71,0.0221,567074,0.6237,0.3763,0.2286,0.0817,0.0404,0.0293,0.0026,
"26",769064,0.0027,0.2994,0.6747,0.0259,600983,0.579,0.421,0.2202,0.1489,0.0312,0.0247,0.0024,
"27",764407,-0.0034,0.2358,0.7413,0.0229,581237,0.7008,0.2992,0.1817,0.0694,0.0166,0.0325,0.0025,
"28",767395,0.0005,0.2895,0.685,0.0254,586682,0.6015,0.3985,0.2034,0.1411,0.0307,0.031,0.0086,
"29",766683,-0.0004,0.4919,0.4747,0.0335,566894,0.5661,0.4339,0.2275,0.0876,0.0997,0.0276,0.0029,
"30",767121,0.0002,0.7449,0.2236,0.0315,623414,0.5196,0.4804,0.272,0.0912,0.1034,0.0257,0.0022,
"31",767969,0.0013,0.5086,0.4615,0.0298,591285,0.5491,0.4509,0.334,0.0539,0.0447,0.03,0.0062,
"32",766071,-0.0012,0.5037,0.4695,0.0268,571210,0.3615,0.6385,0.4883,0.0822,0.0625,0.0283,0.004,
"33",765186,-0.0023,0.6802,0.2933,0.0265,582676,0.1942,0.8058,0.704,0.072,0.0284,0.0288,0.0024,
"34",766062,-0.0012,0.4341,0.5388,0.0271,573218,0.4126,0.5874,0.4298,0.1114,0.0352,0.0304,0.0043,
"35",769101,0.0028,0.2786,0.6999,0.0215,586082,0.5337,0.4663,0.346,0.0843,0.0185,0.0238,0.0013,
"36",768246,0.0016,0.5523,0.424,0.0237,545925,0.1339,0.8661,0.842,0.0118,0.0063,0.0156,0.0009,
"37",767900,0.0012,0.5338,0.4421,0.0242,567838,0.2002,0.7998,0.7469,0.0272,0.0198,0.0187,0.0013,
"38",769493,0.0033,0.6271,0.3489,0.024,541101,0.0743,0.9257,0.903,0.0071,0.0145,0.0151,0.0004,
"Summary",766987,0.0069,0.4514,0.5241,0.0245,575439,0.4316,0.5684,0.3616,0.1298,0.0621,0.0267,0.0024,
