ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",783008,-0.0021,0.7622,0.2149,0.0229,620640,0.5051,0.4949,0.192,0.1469,0.1474,0.0198,0.0024,
"2",783806,-0.0011,0.6723,0.3046,0.0231,602304,0.5285,0.4715,0.1203,0.0873,0.2526,0.0138,0.0021,
"3",784482,-0.0002,0.6252,0.3549,0.0199,571131,0.4251,0.5749,0.2165,0.1767,0.174,0.0212,0.0027,
"4",783485,-0.0015,0.4238,0.5555,0.0207,601181,0.7654,0.2346,0.092,0.0723,0.0519,0.0194,0.0016,
"5",783473,-0.0015,0.4368,0.5416,0.0215,633949,0.7958,0.2042,0.0369,0.1049,0.0423,0.0178,0.0012,
"6",783386,-0.0016,0.3284,0.6561,0.0155,633759,0.842,0.158,0.0291,0.0952,0.0138,0.018,0.001,
"7",783725,-0.0012,0.4708,0.5113,0.0179,621412,0.6587,0.3413,0.0473,0.2252,0.0525,0.0162,0.0011,
"8",787039,0.003,0.6347,0.3488,0.0166,626603,0.479,0.521,0.0736,0.4044,0.0317,0.0191,0.0018,
"9",787205,0.0032,0.4387,0.5414,0.0199,608956,0.6899,0.3101,0.0699,0.1813,0.0379,0.0243,0.0025,
"10",785897,0.0016,0.658,0.3232,0.0188,616036,0.4353,0.5647,0.0681,0.4459,0.0415,0.0228,0.0039,
"11",785887,0.0015,0.5109,0.4677,0.0214,609083,0.6014,0.3986,0.0687,0.2425,0.0725,0.0225,0.0039,
"Summary",784672,0.0053,0.5401,0.44,0.0199,613187,0.6133,0.3867,0.0911,0.1988,0.0823,0.0195,0.0022,
